country_id	country_name	year	AG.SRF.TOTL.K2	NY.GDP.MKTP.KD.ZG	NY.GDP.PCAP.CD	SH.DYN.NMRT	SH.H2O.SAFE.UR.ZS	SH.STA.BFED.ZS	SI.POV.NAGP	SM.POP.REFG.OR	SP.ADO.TFRT	SP.POP.65UP.TO.ZS	SP.POP.GROW	SP.POP.TOTL	SP.URB.TOTL.IN.ZS	TM.VAL.FOOD.ZS.UN	TX.VAL.FOOD.ZS.UN
MAC	Macao SAR, China	2014	30.3	-0.35295269023824	96038.0507240687	NA	NA	NA	NA	5	3.4972	8.53154621621902	1.72050632642515	577914	100	14.8660004633386	27.2010145851657
MAF	St. Martin (French part)	2014	54.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.847219769659737	31530	NA	NA	NA
MAR	Morocco	2014	446550	2.41708118165246	3190.31044414024	18.2	98.7	NA	NA	1532	32.0718	6.07918003379773	1.39081937925812	33921203	59.699	NA	NA
MCO	Monaco	2014	2	NA	NA	2	100	NA	NA	3	NA	NA	0.25282444838655	37623	100	NA	NA
MDA	Moldova	2014	33850	4.60000000000001	2238.89988514801	12.1	96.9	NA	NA	2242	23.236	9.89224868257562	-0.0608857460994868	3556400	44.925	12.9149533032817	64.1049738449578
MDG	Madagascar	2014	587295	3.31577903358244	449.40082974561	20.1	81.2	NA	NA	281	117.494	2.81974415690535	2.7838697365537	23571713	34.468	NA	NA
MDV	Maldives	2014	300	6.48058584921731	7635.48415133126	5.2	99.5	NA	NA	36	7.276	4.72699802750304	2.01518154373079	401000	44.494	21.024014313463	97.7313243789236
MEA	Middle East & North Africa (all income levels)	2014	11370800	2.5023624127117	8377.0168210485	13.5720851630288	95.7084476687824	NA	NA	4454220	38.6734538883026	4.6831461378193	1.98547462096541	417451428	63.7427379141125	NA	NA
MEX	Mexico	2014	1964380	2.23079466200883	10325.6460658759	7.4	97.2	NA	NA	10666	63.4592	6.30848223499061	1.32121763533464	125385833	78.971	6.44263407549682	6.38957472670879
MHL	Marshall Islands	2014	180	-0.971303396439467	3529.74830339742	17	93.5	NA	NA	3	NA	NA	0.211952692799304	52898	72.424	NA	NA
MIC	Middle income	2014	62144163.5	4.82801564383924	4706.60970419783	20.5	95.7421037752765	NA	NA	7204443	40.9873275602761	6.57622854686477	1.18742469032493	5239940034	49.0312219552488	7.28327738851839	10.0542640422256
MKD	Macedonia, FYR	2014	25710	3.76755805949985	5455.59488900156	3.8	99.8	NA	NA	1768	17.8554	12.0217283950617	0.148595744777241	2075625	57.029	11.3831445375137	12.7153897860531
MLI	Mali	2014	1240190	7.19463484986886	704.507440024302	38.6	94.8	NA	NA	139267	175.4438	2.55758186428649	2.93342046714661	17086022	39.143	NA	NA
